Date|Price|Market Cap
2019-02-23|1,01|2038700777
2019-02-22|1,01|2038722002
2019-02-21|1|2030389249
2019-02-20|1,01|2035565492
2019-02-19|1,01|2036854533
2019-02-18|1,01|2032482156
2019-02-17|1|2023392364
2019-02-16|1|2028056761
2019-02-15|1|2028414752
2019-02-14|1,01|2034561938
2019-02-13|1|2029480830
2019-02-12|1|2029502697
2019-02-11|1|2027856142
2019-02-10|1|2029926999
2019-02-09|1|2021998987
2019-02-08|1|2025330851
2019-02-07|1|2023283054
2019-02-06|1|2023129504
2019-02-05|0,9995|2019910268
2019-02-04|0,9998|2020505215
2019-02-03|1|2020950151
2019-02-02|1|2026311240
2019-02-01|1,01|2033605783
2019-01-31|1,01|2033970566
2019-01-30|1,01|2035381727
2019-01-29|1,01|2039923121
2019-01-28|1,01|2038694610
2019-01-27|1,01|2034836041
2019-01-26|1,01|2035939570
2019-01-25|1,01|2038477177
2019-01-24|1,01|2034477909
2019-01-23|1,01|2033881765
2019-01-22|1,01|2035374036
2019-01-21|1,01|2043620530
2019-01-20|1,02|2050721693
2019-01-19|1,02|2049986707
2019-01-18|1,02|2049916429
2019-01-17|1,02|2039914521
2019-01-16|1,02|2034461698
2019-01-15|1,02|2030634314
2019-01-14|1,02|1994117522
2019-01-13|1,02|1967105373
2019-01-12|1,02|1968628488
2019-01-11|1,02|1973324876
2019-01-10|1,02|1951532809
2019-01-09|1,02|1924061690
2019-01-08|1,02|1921519012
2019-01-07|1,01|1899849838
2019-01-06|1,02|1910347641
2019-01-05|1,02|1900850297
2019-01-04|1,02|1898444419
2019-01-03|1,02|1900260730
2019-01-02|1,02|1908446134
2019-01-01|1,02|1892772547
