Date|Price|Market Cap
2020-02-14|1,02|433455017
2020-02-13|1,02|433424884
2020-02-12|1,03|440729705
2020-02-11|1,01|424938367
2020-02-10|1,02|425651890
2020-02-09|1,02|432572539
2020-02-08|1,02|426492605
2020-02-07|1,02|426872133
2020-02-06|1,02|431805231
2020-02-05|1,03|435925186
2020-02-04|1,02|441022144
2020-02-03|1,03|443211063
2020-02-02|1,03|445776906
2020-02-01|1,03|446957875
2020-01-31|1,03|449187881
2020-01-30|1,04|453218427
2020-01-29|1,03|452003908
2020-01-28|1,02|452031883
2020-01-27|1,02|449464491
2020-01-26|1,01|448606932
2020-01-25|1|444663109
2020-01-24|1|444875789
2020-01-23|1|444027176
2020-01-22|1|452956644
2020-01-21|1|441024990
2020-01-20|1|438632395
2020-01-19|0,9973|436777175
2020-01-18|1,01|440548199
2020-01-17|1|438515037
2020-01-16|1|445192682
2020-01-15|1|446693203
2020-01-14|1|428644821
2020-01-13|1|444665325
2020-01-12|1|447479872
2020-01-11|1|447244754
2020-01-10|1|444501900
2020-01-09|1,01|460038834
2020-01-08|1|463207216
2020-01-07|0,9995|478340351
2020-01-06|1|511424007
2020-01-05|1,01|518272577
2020-01-04|1,01|518956313
2020-01-03|1,01|517055937
2020-01-02|1,01|517456713
2020-01-01|1|516992415
2019-12-31|1|518524366
2019-12-30|1,01|521352612
2019-12-29|1,01|520939799
2019-12-28|1|518666293
2019-12-27|1,01|522362993
2019-12-26|1,01|518286276
2019-12-25|1,01|522637012
2019-12-24|1,01|521854515
2019-12-23|1|520339586
2019-12-22|1|522378469
2019-12-21|1,01|524904660
2019-12-20|1,01|523978794
2019-12-19|1,01|513281417
2019-12-18|1,01|476511547
2019-12-17|0,9987|459604776
2019-12-16|1|467012937
2019-12-15|1,01|476226732
2019-12-14|1,01|475565226
2019-12-13|1|473685132
2019-12-12|1,01|477440913
2019-12-11|1|475096190
2019-12-10|1,01|481975625
2019-12-09|1,01|485716419
2019-12-08|1,01|464755635
2019-12-07|1,01|465947064
2019-12-06|1|464937222
2019-12-05|1,01|467344559
2019-12-04|1|465046679
2019-12-03|1|446025602
2019-12-02|0,9988|456524672
2019-12-01|0,9964|454728031
2019-11-30|0,9977|454059448
2019-11-29|1|454235200
2019-11-28|1,01|458276296
2019-11-27|1,01|467956602
2019-11-26|1,01|462535121
2019-11-25|1|457965523
2019-11-24|1,01|447418651
2019-11-23|1,01|448722471
2019-11-22|1|441973715
2019-11-21|1|443598617
2019-11-20|1,01|433657939
2019-11-19|1,01|444180150
2019-11-18|1,01|447778601
2019-11-17|1,01|445015572
2019-11-16|1,01|444955987
2019-11-15|1|439849170
2019-11-14|1,01|442184866
2019-11-13|1|449163234
2019-11-12|1|450783452
2019-11-11|1|452216839
2019-11-10|1|452610559
2019-11-09|0,9999|452131191
2019-11-08|1|453928210
2019-11-07|1,01|458718478
2019-11-06|1|458947113
2019-11-05|1|469576715
2019-11-04|1|447664364
2019-11-03|1|468534831
